gID,gName,rDate,rAge,price,dlcCount
191,Commandos 3: Destination Berlin,2007-03-15,0,3.99,0
192,Hitman 2: Silent Assassin,2007-03-15,0,6.99,0
193,Hitman: Blood Money,2007-03-15,17,8.99,0
194,Battlestations: Midway,2007-03-15,0,6.99,0
195,Just Cause,2007-03-15,17,6.99,0
196,Hitman: Codename 47,2007-03-15,17,6.99,0
197,Deus Ex: Game of the Year Edition,2007-03-29,17,6.99,0
198,Deus Ex: Invisible War,2007-03-29,17,6.99,0
199,Thief: Deadly Shadows,2007-03-29,0,8.99,0
200,Tomb Raider: Legend,2007-03-29,0,6.99,0
201,Project: Snowblind,2007-03-29,0,5.99,0
202,Rogue Trooper,2007-03-29,0,9.99,0
203,Jade Empire: Special Edition,2007-02-27,0,14.99,0
204,TrackMania United,2008-04-16,0,29.99,0
205,Runaway: A Road Adventure,2007-03-14,0,9.99,0
206,Runaway: The Dream of the Turtle,2007-03-14,0,9.99,0
207,Loki,2007-11-05,0,9.99,0
208,Azada,2010-04-21,0,9.99,0
209,X-Blades,2009-04-30,17,9.99,0
210,Two Worlds II,2011-02-03,17,19.99,4
211,Two Worlds II Castle Defense,2011-06-14,0,9.99,0
212,Sid Meier's Railroads!,2007-05-04,0,9.99,0
213,Railroad Tycoon 3,2007-05-04,0,9.99,0
214,Railroad Tycoon 2: Platinum,2007-05-04,0,4.99,0
215,X-COM: Terror from the Deep,2007-05-04,0,4.99,0
216,X-COM: Apocalypse,2008-09-04,0,4.99,0
217,BioShock,2007-08-21,17,19.99,0
218,X-COM: Interceptor,2008-09-04,0,4.99,0
219,X-COM: UFO Defense,2008-09-04,0,4.99,0
220,X-COM: Enforcer,2008-09-04,0,4.99,0
221,Men of War,2009-05-06,0,4.99,0
222,Death Track: Resurrection,2009-05-06,0,2.99,0
223,NecroVisioN,2009-05-20,0,4.99,0
224,Call of Duty 4: Modern Warfare,2007-11-12,17,19.99,0
225,Cabelas Trophy Bucks,2008-05-16,0,19.99,0
226,Tomb Raider: Anniversary,2007-06-05,0,8.99,0
227,Kane & Lynch: Dead Men,2007-12-13,17,6.99,0
228,Conflict: Denied Ops,2008-02-08,17,5.99,0
229,Tomb Raider: Underworld,2008-11-21,0,8.99,0
230,Battlestations: Pacific,2009-05-13,0,8.99,0
231,Just Cause 2,2010-03-23,17,14.99,8
232,Sam & Max 101: Culture Shock,2007-06-15,0,0,0
233,Sam & Max 102: Situation: Comedy,2007-06-15,0,0,0
234,"Sam & Max 103: The Mole, the Mob and the Meatball",2007-06-15,0,0,0
235,Sam & Max 104: Abe Lincoln Must Die!,2007-06-15,0,0,0
236,Sam & Max 105: Reality 2.0,2007-06-15,0,0,0
237,Sam & Max 106: Bright Side of the Moon,2007-06-15,0,0,0
238,Sam & Max 201: Ice Station Santa,2008-05-16,0,0,0
239,Sam & Max 202: Moai Better Blues,2008-05-16,0,0,0
240,Sam & Max 203: Night of the Raving Dead,2008-05-16,0,0,0
241,Sam & Max 204: Chariots of the Dogs,2008-05-16,0,0,0
242,Sam & Max 205: What's New Beelzebub?,2008-05-16,0,0,0
243,Bone: Out from Boneville,2008-06-17,0,9.99,0
244,Bone: The Great Cow Race,2008-06-17,0,9.99,0
245,Telltale Texas Hold'Em,2008-06-17,0,2.99,0
246,Strong Bad Episode 1: Homestar Ruiner,2008-12-18,0,19.99,0
247,Geometry Wars: Retro Evolved,2007-06-18,0,3.99,0
248,EVE Online,2010-12-15,0,19.99,9
249,RACE 07,2007-10-15,0,3.99,8
250,RACE On,2009-10-16,0,7.99,0
251,GTR 2 - FIA GT Racing Game,2012-12-12,0,7.99,0
252,Sid Meier's Civilization IV: Beyond the Sword,2007-07-24,0,9.99,0
253,BioShock 2,2010-02-09,17,19.99,1
254,BioShock Infinite,2013-03-25,17,29.99,5
255,Freedom Force,2009-05-29,0,4.99,0
256,Freedom Force vs. the 3rd Reich,2009-05-29,0,4.99,0
257,Sid Meier's Civilization V,2010-09-21,0,29.99,15
258,Axel & Pixel,2010-10-06,0,4.99,0
259,Borderlands,2009-10-26,17,19.99,4
260,Wolfenstein 3D: Spear of Destiny,2007-08-03,0,2.99,0
261,Return to Castle Wolfenstein,2007-08-03,0,4.99,0
262,Quake Mission Pack 2: Dissolution of Eternity,2007-08-03,0,2.99,0
263,Quake Mission Pack 1: Scourge of Armagon,2007-08-03,0,2.99,0
264,DOOM 3,2007-08-03,17,4.99,0
265,HeXen II,2007-08-03,0,4.99,0
266,Master Levels for DOOM II,2007-08-03,0,14.99,0
267,Commander Keen Complete Pack,2007-08-03,0,4.99,0
268,RAGE,2011-10-03,17,9.99,1
269,Company of Heroes: Opposing Fronts,2007-09-24,18,19.99,0
270,Supreme Commander,2011-09-28,0,14.99,0
271,Supreme Commander: Forged Alliance,2011-09-28,0,14.99,0
272,Frontlines: Fuel of War,2008-02-29,0,19.99,0
273,Saints Row 2,2009-01-07,17,9.99,0
274,Gish,2007-07-20,0,9.99,0
275,Tycoon City: New York,2008-03-12,0,9.99,0
276,Act of War: High Treason,2008-03-12,0,2.99,0
277,Death to Spies,2008-03-12,0,4.99,0
278,Codename: Panzers - Cold War,2009-05-06,0,14.99,1
279,Ghostbusters: The Video Game,2009-06-16,0,9.99,0
280,Champions Online,2011-06-14,0,0,0
281,Star Trek Online,2012-01-31,0,0,0
282,Blade Kitten,2014-05-22,0,2.99,3
283,Haunted House,2010-09-28,0,5.99,0
284,Star Raiders,2011-05-11,0,9.99,0
285,The UnderGarden,2010-11-10,0,6.99,0
286,Ghostbusters: Sanctum of Slime,2011-03-23,0,9.99,1
287,Call of Duty: World at War,2008-11-18,17,19.99,0
288,King's Quest Collection,2009-07-23,0,19.99,0
289,Space Quest Collection,2009-07-23,0,19.99,0
290,Aces of the Galaxy,2009-07-23,0,9.99,0
291,TimeShift,2009-07-23,0,19.99,0
292,3D Ultra Minigolf Adventures Deluxe,2009-07-23,0,9.99,0
293,Prototype,2009-06-10,17,19.99,0
294,Call of Duty: Modern Warfare 2,2009-11-11,0,19.99,2
295,Postal 3,2012-02-17,17,14.99,0
296,Dead Mountaineer's Hotel,2011-10-28,0,9.99,0
297,Stroke of Fate: Operation Valkyrie,2011-10-28,0,9.99,0
298,PT Boats: Knights of the Sea,2011-10-28,0,9.99,0
299,PT Boats: South Gambit,2011-10-28,0,9.99,0
300,Disciples III: Reincarnation,2014-02-14,0,9.99,0
301,The Club,2008-02-20,0,14.99,0
302,Empire: Total War,2009-03-03,0,19.99,5
303,Beijing 2008,2008-08-14,0,0,0
304,Space Siege,2008-08-14,0,14.99,0
305,Aliens vs. Predator,2010-02-16,17,14.99,2
306,TrackMania Nations Forever,2008-04-16,0,0,0
307,Sherlock Holmes: Nemesis,2008-08-07,0,9.99,0
308,Dracula: Origin,2008-08-07,0,9.99,0
309,Sherlock Holmes: The Mystery of The Mummy,2009-08-06,0,0,0
310,Sherlock Holmes: The Awakened - Remastered,2009-08-06,0,9.99,0
311,Sherlock Holmes: The Secret of the Silver Earring,2009-08-06,0,9.99,0
312,Sherlock Holmes versus Jack the Ripper,2009-12-23,0,9.99,0
313,Shadowgrounds: Survivor,2007-11-14,17,9.99,0
314,Gumboy Tournament,2008-05-19,0,2.99,0
315,Space Trader: Merchant Marine,2008-10-23,0,4.99,0
316,Pacific Storm,2008-06-24,0,7.99,0
317,Pacific Storm: Allies,2008-08-18,0,7.99,0
318,Penguins Arena: Sedna's World,2008-12-18,0,5.99,0
319,Obulis,2009-03-19,0,4.99,0
320,Larva Mortus,2009-03-19,0,4.99,0
321,Chains,2009-07-01,0,4.99,0
322,Nikopol: Secrets of the Immortals,2009-07-30,0,4.99,0
323,Crash Time II,2009-08-27,0,9.99,0
324,Overlord,2009-11-12,0,4.99,0
325,Soldiers: Heroes of World War II,2014-07-03,0,4.99,0
326,Maelstrom,2009-02-13,0,4.99,0
327,Hospital Tycoon,2009-02-13,0,4.99,0
328,Dragon Nest,2012-12-18,0,0,0
329,Lumines,2008-04-18,0,9.99,0
330,Lumines: Advanced Pack,2008-04-18,0,7.99,0
331,Grand Theft Auto III,2011-01-06,17,9.99,0
332,Grand Theft Auto: Vice City,2011-01-10,17,9.99,0
333,Grand Theft Auto: San Andreas,2011-01-06,17,14.99,0
334,Manhunt,2008-01-04,17,9.99,0
335,Max Payne,2008-01-04,17,9.99,0
336,Max Payne 2: The Fall of Max Payne,2008-01-04,17,9.99,0
337,Midnight Club II,2008-01-04,0,9.99,0
338,Grand Theft Auto,2008-01-04,0,0,0
339,Grand Theft Auto 2,2008-01-04,0,0,0
340,Bully: Scholarship Edition,2008-10-21,0,14.99,0
341,Grand Theft Auto IV,2008-12-02,17,19.99,0
342,Grand Theft Auto: Episodes from Liberty City,2010-04-12,17,19.99,0
343,Culpa Innata,2008-01-18,0,9.99,0
344,Sacred Gold,2008-07-09,0,9.99,0
345,DarkStar One,2008-02-13,0,7.99,0
346,Jack Keane,2008-06-27,0,9.99,0
347,FlatOut: Ultimate Carnage,2008-08-26,0,19.99,0
348,Exodus from the Earth,2008-10-24,0,14.99,0
349,Perimeter 2: New Earth,2009-02-10,0,14.99,0
350,SlamIt Pinball: Big Score,2009-02-23,0,4.99,0
351,Ankh 2: Heart of Osiris,2009-06-16,0,4.99,0
352,Ankh 3: Battle of the Gods,2009-06-16,0,9.99,0
353,BC Kings,2009-06-16,0,4.99,0
354,Port Royale 2,2009-06-16,0,4.99,0
355,9th Company - Roots of Terror,2009-12-03,0,9.99,0
356,Puzzle Quest,2008-01-29,0,9.99,0
357,Prison Tycoon 3: Lockdown,2008-01-29,0,9.99,0
358,18 Wheels of Steel: American Long Haul,2008-01-29,0,9.99,0
359,Hunting Unlimited 2008,2008-01-29,0,9.99,0
360,Mahjongg Investigations: Under Suspicion,2008-07-29,0,9.99,0
361,Ride! Carnival Tycoon,2008-07-29,0,9.99,0
362,Hot Dish,2008-07-29,0,9.99,0
363,Dr. Daisy: Pet Vet,2008-07-29,0,9.99,0
364,Sprint Cars: Road to Knoxville,2008-07-29,0,9.99,0
365,Midnight Outlaw: 6 Hours to Sun Up,2008-07-29,0,9.99,0
366,Legend: Hand of God,2009-05-05,0,9.99,0
367,Drakensang,2009-03-09,0,9.99,0
368,Fetch It Again,2009-07-17,0,6.99,0
369,Miss Popularity,2009-07-17,0,6.99,0
370,Mission Runway,2009-07-17,0,9.99,0
371,Hunting Unlimited 2010,2009-07-07,0,9.99,0
372,Overlord: Raising Hell,2009-11-12,0,9.99,0
373,GRID,2008-06-04,0,14.99,0
374,Rise of the Argonauts,2009-01-07,17,9.99,0
375,Damnation,2009-05-22,17,9.99,0
376,Overlord II,2009-06-24,0,9.99,0
377,Operation Flashpoint: Dragon Rising,2009-10-06,17,9.99,0
378,Audiosurf,2008-02-15,0,9.99,0
379,Ninja Reflex: Steamworks Edition,2008-03-21,0,4.99,0
380,America's Army 3,2009-06-17,0,0,0
381,Unreal II: The Awakening,2008-03-17,17,14.99,0
382,Unreal Tournament 3: Black Edition,2009-03-05,17,19.99,0
383,Unreal Tournament 2004,2004-03-17,17,14.99,0
384,Unreal Tournament: Game of the Year Edition,2008-03-17,17,9.99,0
385,Unreal Gold,2008-03-17,0,9.99,0
386,Prince of Persia: Warrior Within,2008-11-21,17,9.99,0
387,Far Cry,2008-04-01,17,9.99,0
388,Prince of Persia: The Two Thrones,2008-11-21,17,9.99,0
389,Tom Clancy's Rainbow Six: Vegas,2008-04-09,17,9.99,0
390,Tom Clancy's Splinter Cell,2008-04-01,0,9.99,0
391,Tom Clancy's Splinter Cell: Chaos Theory,2009-08-27,0,9.99,0
392,Tom Clancy's Splinter Cell: Double Agent,2009-02-13,17,9.99,0
393,Prince of Persia: The Sands of Time,2008-11-21,0,9.99,0
394,Tom Clancy's Ghost Recon: Desert Siege,2008-07-15,17,4.99,0
395,Tom Clancy's Ghost Recon: Island Thunder,2008-07-15,0,4.99,0
396,Tom Clancy's Rainbow Six: Lockdown,2008-05-13,17,9.99,0
397,Rayman: Raving Rabbids,2008-06-13,0,9.99,0
398,Assassin's Creed,2008-04-09,17,19.99,0
399,Tom Clancy's Rainbow Six: Vegas 2,2008-04-16,17,9.99,0
400,Beyond Good & Evil,2008-05-13,0,9.99,0
401,Petz Horsez 2,2008-06-13,0,9.99,0
402,Heroes of Might & Magic V,2008-05-13,0,9.99,0
403,Brothers in Arms: Road to Hill 30,2008-05-13,17,9.99,0
404,Silent Hunter: Wolves of the Pacific,2008-06-13,0,9.99,0
405,Silent Hunter III,2008-06-13,0,9.99,0
406,Blazing Angels 2: Secret Missions of WWII,2008-05-13,0,9.99,0
407,Silent Hunter: Wolves of the Pacific U-Boat Missions,2008-06-13,0,9.99,0
408,Cold Fear,2008-05-13,17,9.99,0
409,IL-2 Sturmovik: 1946,2008-06-13,0,9.99,0
410,Tom Clancy's Ghost Recon,2008-07-15,17,9.99,0
411,The Settlers: Heritage of Kings,2008-07-22,0,9.99,0
412,Brain Spa,2008-10-10,0,9.99,0
413,Heroes of Might & Magic V: Tribes of the East,2008-10-10,0,9.99,0
414,Heroes of Might & Magic V: Hammers of Fate,2008-10-10,0,9.99,0
415,Brothers in Arms: Hell's Highway,2008-10-08,17,9.99,0
416,Harvest: Massive Encounter,2009-01-23,0,7.99,0
417,The Wonderful End of the World,2008-07-17,0,9.99,0
418,AaAaAA!!! - A Reckless Disregard for Gravity,2009-09-03,0,9.99,1
419,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,2011-11-23,0,9.99,0
420,Oddworld: Abe's Oddysee,2008-08-28,0,2.99,0
421,Oddworld: Abe's Exoddus,2008-08-28,0,2.99,0
422,Oddworld: Munch's Oddysee,2010-12-20,0,4.99,0
423,Oddworld: Stranger's Wrath HD,2010-12-20,0,9.99,0
424,Planet Busters,2008-06-30,0,9.99,0
425,7 Wonders II,2008-06-10,0,9.99,0
426,Luxor: Amun Rising,2008-06-10,0,9.99,0
427,Luxor 2,2008-06-10,0,9.99,0
428,Luxor 3,2008-06-10,0,9.99,0
429,Reaxxion,2008-06-10,0,9.99,0
430,Little Farm,2008-06-10,0,9.99,0
431,Luxor,2008-06-10,0,9.99,0
432,Discovery! A Seek & Find Adventure,2008-07-29,0,9.99,0
433,Samantha Swift and the Hidden Roses of Athena,2008-10-31,0,9.99,0
434,7 Wonders: The Treasures of Seven,2008-11-14,0,9.99,0
435,Luxor: Quest for the Afterlife,2008-12-15,0,9.99,0
436,Samantha Swift and the Golden Touch,2009-04-29,0,9.99,0
437,Virtual Villagers: A New Home,2008-05-12,0,9.99,0
438,Virtual Villagers 2: The Lost Children,2008-05-12,0,9.99,0
439,Plant Tycoon,2008-05-12,0,9.99,0
440,Fish Tycoon,2008-05-12,0,9.99,0
441,Virtual Villagers 3: The Secret City,2008-05-28,0,9.99,0
442,Virtual Families,2009-05-06,0,9.99,0
443,Everyday Shooter,2008-05-08,0,9.99,0
444,F.E.A.R. 2: Project Origin,2009-02-12,17,14.99,1
445,Chaos Theory,2008-05-22,0,2.99,0
446,Trials 2: Second Edition,2008-05-28,0,9.99,0
447,Monster Trucks Nitro,2009-01-29,0,19.99,0
448,Insecticide Part 1,2008-07-01,0,1.99,0
449,Velvet Assassin,2009-05-01,17,4.99,0
450,Legendary,2008-12-01,17,2.99,0
451,Sid Meier's Civilization IV: Colonization,2008-09-23,0,19.99,0
452,Tribes: Ascend,2012-06-27,0,0,1
453,Children of the Nile,2008-07-08,0,7.99,0
454,Children of the Nile: Alexandria,2008-09-22,0,2.49,0
455,Hinterland,2008-09-30,0,9.99,0
456,Mosby's Confederacy,2008-11-19,0,9.99,0
457,Crysis,2008-09-17,17,19.99,0
458,Crysis Warhead,2008-09-17,17,19.99,0
459,Spore,2008-12-19,0,19.99,0
460,Mirror's Edge,2009-01-14,0,19.99,0
461,Need for Speed: Undercover,2008-12-19,0,9.99,0
462,Spore: Creepy & Cute Parts Pack,2008-12-19,0,19.99,0
463,Dragon Age: Origins,2009-11-05,17,19.99,0
464,Mass Effect,2008-12-19,17,19.99,0
465,Dead Space,2009-01-09,0,19.99,0
466,Command and Conquer: Red Alert 3,2009-01-08,0,19.99,0
467,"Pirates, Vikings, & Knights II",2010-02-12,0,0,0
468,Dystopia,2009-02-06,0,0,0
469,Nuclear Dawn,2011-09-26,0,9.99,0
470,Empires,2008-07-28,0,0,0
471,"On the Rain-Slick Precipice of Darkness, Episode One",2008-05-21,17,7.99,0
472,"On the Rain-Slick Precipice of Darkness, Episode Two",2008-11-07,17,7.99,0
473,DeathSpank,2010-10-25,0,14.99,0
474,DeathSpank: Thongs Of Virtue,2010-11-30,0,14.99,0
475,The Baconing,2011-08-31,0,14.99,1
476,Unstoppable Gorg,2012-01-19,0,9.99,0
477,Spectraball,2008-10-20,0,4.99,0
478,Crazy Machines 2,2008-06-20,0,24.99,10
479,Crazy Machines,2008-12-12,0,9.99,0
480,Crazy Machines 1.5,2008-12-12,0,9.99,0
481,Helldorado,2009-04-30,0,9.99,0
482,Mata Hari,2009-07-29,0,9.99,0
483,Defense Grid: The Awakening,2008-12-08,0,9.99,6
