rating_id,uName,gID,rating_date,rating
lmarion2760,lmarion,2760,2018-11-25,3
lmarion2794,lmarion,2794,2019-03-04,3
lmarion832,lmarion,832,2018-03-31,3
lmarion2040,lmarion,2040,2019-08-12,4
lmarion9472,lmarion,9472,2018-02-20,4
lmarion9237,lmarion,9237,2019-08-04,4
lmarion7267,lmarion,7267,2018-10-26,3
lmarion9094,lmarion,9094,2018-09-17,4
lmarion205,lmarion,205,2018-08-12,2
lmarion3041,lmarion,3041,2018-08-28,4
lmarion7968,lmarion,7968,2019-01-31,4
dnewkirk11115,dnewkirk,11115,2017-01-21,3
dnewkirk1443,dnewkirk,1443,2019-07-27,5
dnewkirk948,dnewkirk,948,2017-10-03,4
dnewkirk2609,dnewkirk,2609,2018-02-23,2
dnewkirk5350,dnewkirk,5350,2017-09-28,5
dnewkirk5857,dnewkirk,5857,2019-07-25,5
dnewkirk5882,dnewkirk,5882,2017-09-03,4
dnewkirk7617,dnewkirk,7617,2018-03-30,4
dnewkirk2742,dnewkirk,2742,2019-01-21,3
dnewkirk5399,dnewkirk,5399,2018-12-11,4
dnewkirk6777,dnewkirk,6777,2016-08-06,4
dnewkirk4819,dnewkirk,4819,2016-02-16,3
dnewkirk8697,dnewkirk,8697,2019-05-24,4
dnewkirk9998,dnewkirk,9998,2017-08-23,4
dnewkirk822,dnewkirk,822,2018-07-29,2
dnewkirk9545,dnewkirk,9545,2018-09-26,4
dnewkirk11484,dnewkirk,11484,2019-02-07,3
dnewkirk9009,dnewkirk,9009,2018-07-11,3
dnewkirk5414,dnewkirk,5414,2016-12-26,5
dnewkirk1819,dnewkirk,1819,2016-10-05,5
dnewkirk7219,dnewkirk,7219,2019-09-18,4
dnewkirk11335,dnewkirk,11335,2018-06-28,4
dnewkirk1809,dnewkirk,1809,2015-04-12,4
akroeker3205,akroeker,3205,2017-04-18,4
akroeker9392,akroeker,9392,2018-07-22,2
akroeker798,akroeker,798,2017-01-31,4
akroeker6216,akroeker,6216,2017-02-12,4
akroeker9904,akroeker,9904,2016-07-22,4
akroeker7703,akroeker,7703,2017-12-06,4
akroeker2814,akroeker,2814,2017-05-15,1
akroeker6109,akroeker,6109,2017-12-07,4
akroeker3475,akroeker,3475,2016-11-30,4
akroeker3312,akroeker,3312,2019-02-01,3
akroeker11851,akroeker,11851,2018-06-18,4
akroeker1148,akroeker,1148,2018-11-17,4
akroeker385,akroeker,385,2019-04-16,3
sromeo1417,sromeo,1417,2019-04-07,5
sromeo7534,sromeo,7534,2016-07-30,4
sromeo11941,sromeo,11941,2018-08-29,4
sromeo11194,sromeo,11194,2017-07-28,3
sromeo11911,sromeo,11911,2019-05-16,4
sromeo6905,sromeo,6905,2016-06-11,5
sromeo7263,sromeo,7263,2016-12-04,4
sromeo7153,sromeo,7153,2016-08-23,4
sromeo7545,sromeo,7545,2016-09-10,4
sromeo7433,sromeo,7433,2018-12-26,1
sromeo6312,sromeo,6312,2017-05-30,5
sromeo649,sromeo,649,2019-05-08,4
sromeo263,sromeo,263,2019-03-03,4
sromeo1639,sromeo,1639,2016-08-13,3
sromeo26,sromeo,26,2015-11-01,4
sromeo1724,sromeo,1724,2016-11-14,2
sromeo10461,sromeo,10461,2019-08-12,2
sromeo9371,sromeo,9371,2017-01-07,4
sromeo9912,sromeo,9912,2017-04-10,4
sromeo5070,sromeo,5070,2016-10-16,4
amathis2287,amathis,2287,2018-07-16,4
amathis6813,amathis,6813,2017-03-29,4
amathis11912,amathis,11912,2017-11-22,3
amathis6254,amathis,6254,2019-06-08,4
amathis4925,amathis,4925,2017-09-29,3
amathis1620,amathis,1620,2017-07-17,4
amathis6951,amathis,6951,2019-10-02,3
amathis5401,amathis,5401,2018-09-06,4
amathis6087,amathis,6087,2019-09-14,3
amathis6116,amathis,6116,2019-02-24,4
amathis759,amathis,759,2017-12-07,3
amathis424,amathis,424,2017-12-19,3
amathis6715,amathis,6715,2019-07-30,4
amathis2996,amathis,2996,2019-07-09,4
amathis409,amathis,409,2017-08-29,4
amathis9912,amathis,9912,2018-02-06,5
amathis8800,amathis,8800,2018-10-11,4
amathis1424,amathis,1424,2018-08-26,5
amathis9846,amathis,9846,2019-06-16,3
amathis11080,amathis,11080,2019-04-12,4
lkarlin309,lkarlin,309,2018-12-13,3
lkarlin11732,lkarlin,11732,2018-05-01,5
lkarlin4245,lkarlin,4245,2018-08-29,4
lkarlin3192,lkarlin,3192,2017-10-23,4
lkarlin9493,lkarlin,9493,2019-05-24,4
lkarlin11795,lkarlin,11795,2019-08-30,4
lkarlin6395,lkarlin,6395,2018-05-26,4
lkarlin8365,lkarlin,8365,2019-02-28,2
lkarlin1628,lkarlin,1628,2018-06-13,3
lkarlin1486,lkarlin,1486,2018-11-30,4
lkarlin8889,lkarlin,8889,2019-09-27,2
lkarlin12113,lkarlin,12113,2019-07-29,3
lkarlin1889,lkarlin,1889,2018-09-26,4
lkarlin3942,lkarlin,3942,2018-01-13,3
lkarlin8852,lkarlin,8852,2018-03-31,4
lkarlin3719,lkarlin,3719,2018-12-28,4
lkarlin9177,lkarlin,9177,2019-05-14,1
lkarlin4432,lkarlin,4432,2018-11-04,1
lkarlin8978,lkarlin,8978,2018-02-10,5
lkarlin3599,lkarlin,3599,2018-02-01,4
lkarlin10196,lkarlin,10196,2017-11-02,5
mbagby5545,mbagby,5545,2019-08-03,5
mbagby5013,mbagby,5013,2019-07-04,5
mbagby2328,mbagby,2328,2019-06-16,4
mbagby10517,mbagby,10517,2019-07-01,2
mbagby2646,mbagby,2646,2019-05-28,4
mbagby8896,mbagby,8896,2019-09-04,4
mbagby5702,mbagby,5702,2019-09-13,4
mbagby3225,mbagby,3225,2019-09-09,4
mbagby6717,mbagby,6717,2019-10-04,4
mbagby9571,mbagby,9571,2019-07-09,3
mbagby6696,mbagby,6696,2019-08-28,3
mbagby2911,mbagby,2911,2019-05-24,3
mbagby4434,mbagby,4434,2019-07-03,4
mbagby5777,mbagby,5777,2019-09-16,4
mbagby10466,mbagby,10466,2019-07-08,5
mbagby10582,mbagby,10582,2019-08-11,4
mbagby6103,mbagby,6103,2019-06-07,2
mbagby11890,mbagby,11890,2019-09-05,3
mbagby11202,mbagby,11202,2019-06-20,4
mbagby776,mbagby,776,2019-08-28,5
mbagby11636,mbagby,11636,2019-09-30,4
mbagby3289,mbagby,3289,2019-06-25,4
adrey6744,adrey,6744,2016-09-03,4
adrey571,adrey,571,2016-08-07,4
adrey1071,adrey,1071,2014-08-22,4
adrey4871,adrey,4871,2018-12-28,4
adrey10964,adrey,10964,2017-05-01,4
adrey3825,adrey,3825,2015-10-10,4
kosgood8559,kosgood,8559,2018-05-18,4
kosgood10573,kosgood,10573,2016-12-31,1
kosgood6714,kosgood,6714,2018-05-14,2
kosgood11962,kosgood,11962,2019-07-08,3
kosgood9060,kosgood,9060,2018-07-15,3
kosgood4614,kosgood,4614,2015-12-29,4
kosgood3998,kosgood,3998,2018-04-08,4
kosgood3684,kosgood,3684,2018-05-11,3
mmims2556,mmims,2556,2019-09-05,4
mmims3962,mmims,3962,2018-05-29,5
mmims7182,mmims,7182,2018-03-06,4
mmims6985,mmims,6985,2019-09-18,4
mmims9270,mmims,9270,2018-03-26,5
mmims3307,mmims,3307,2018-11-20,3
mmims8901,mmims,8901,2018-06-20,2
mmims2307,mmims,2307,2019-09-24,4
mmims2976,mmims,2976,2018-03-29,4
mmims3032,mmims,3032,2018-03-26,4
mmims4582,mmims,4582,2019-04-08,4
mmims3409,mmims,3409,2018-03-28,2
mmims9142,mmims,9142,2019-04-12,2
mmims6190,mmims,6190,2018-06-26,4
mmims10258,mmims,10258,2018-03-05,5
mmims11737,mmims,11737,2019-03-11,4
mmims8244,mmims,8244,2018-02-26,3
jhawkins9264,jhawkins,9264,2017-03-01,4
jhawkins4047,jhawkins,4047,2019-01-13,4
jhawkins5853,jhawkins,5853,2018-12-21,4
jhawkins10748,jhawkins,10748,2019-01-21,4
jhawkins6490,jhawkins,6490,2019-03-24,5
jhawkins5869,jhawkins,5869,2017-02-14,4
jhawkins1579,jhawkins,1579,2017-05-05,4
jhawkins5545,jhawkins,5545,2018-04-17,4
jhawkins12141,jhawkins,12141,2019-04-29,4
jhawkins8974,jhawkins,8974,2017-07-15,5
jhawkins7903,jhawkins,7903,2017-01-24,4
jhawkins1977,jhawkins,1977,2017-08-24,4
jhawkins4398,jhawkins,4398,2018-09-25,4
jhawkins2680,jhawkins,2680,2018-04-04,3
jhawkins5759,jhawkins,5759,2017-09-18,4
jhawkins9130,jhawkins,9130,2018-12-09,4
jhawkins11344,jhawkins,11344,2019-04-24,3
jhawkins268,jhawkins,268,2016-11-18,4
jhawkins11070,jhawkins,11070,2019-04-17,3
jhawkins2208,jhawkins,2208,2019-07-01,3
jhawkins2658,jhawkins,2658,2017-06-01,4
dhayner3547,dhayner,3547,2019-07-27,4
dhayner8255,dhayner,8255,2019-10-08,5
dhayner10556,dhayner,10556,2019-10-01,5
dhayner9230,dhayner,9230,2019-08-23,2
dhayner5330,dhayner,5330,2019-09-16,5
dhayner2107,dhayner,2107,2019-09-29,4
dhayner4314,dhayner,4314,2019-08-31,1
dhayner3710,dhayner,3710,2019-09-25,4
dhayner11680,dhayner,11680,2019-08-29,4
dhayner1172,dhayner,1172,2019-08-24,4
dhayner1657,dhayner,1657,2019-07-26,4
dhayner10273,dhayner,10273,2019-07-16,2
dhayner5448,dhayner,5448,2019-07-15,4
dhayner10264,dhayner,10264,2019-09-08,5
tmorphis10896,tmorphis,10896,2019-09-26,4
tmorphis5145,tmorphis,5145,2018-12-26,5
tmorphis4703,tmorphis,4703,2019-02-18,5
tmorphis6665,tmorphis,6665,2019-04-30,4
dparrett3137,dparrett,3137,2016-08-16,5
dparrett11729,dparrett,11729,2018-05-04,4
dparrett2883,dparrett,2883,2017-03-13,3
dparrett7666,dparrett,7666,2016-02-17,5
dparrett10268,dparrett,10268,2019-01-20,1
dparrett11400,dparrett,11400,2017-10-15,4
dparrett1269,dparrett,1269,2017-05-10,4
dparrett8831,dparrett,8831,2018-01-12,3
dparrett3571,dparrett,3571,2019-02-18,5
dparrett11667,dparrett,11667,2016-12-21,3
dparrett2877,dparrett,2877,2016-03-22,4
dparrett1232,dparrett,1232,2019-03-04,4
dparrett4649,dparrett,4649,2016-06-04,3
dparrett2713,dparrett,2713,2015-09-02,4
halto8900,halto,8900,2017-10-31,3
halto5969,halto,5969,2018-08-09,2
halto576,halto,576,2018-09-01,4
halto3843,halto,3843,2019-06-17,5
halto12007,halto,12007,2018-02-09,4
halto2986,halto,2986,2019-07-25,4
halto5756,halto,5756,2019-09-10,4
halto1939,halto,1939,2018-03-28,5
halto767,halto,767,2019-09-08,4
halto243,halto,243,2018-08-06,4
halto1406,halto,1406,2018-10-21,3
halto2957,halto,2957,2019-08-06,4
lhenricksen7908,lhenricksen,7908,2018-02-18,4
lhenricksen3156,lhenricksen,3156,2019-04-03,2
lhenricksen8962,lhenricksen,8962,2018-03-27,3
lhenricksen9447,lhenricksen,9447,2019-06-03,4
lhenricksen7941,lhenricksen,7941,2018-12-24,4
lhenricksen10516,lhenricksen,10516,2019-06-19,2
lhenricksen6822,lhenricksen,6822,2019-02-04,3
lhenricksen1327,lhenricksen,1327,2018-03-31,3
lhenricksen560,lhenricksen,560,2019-05-13,3
lhenricksen4328,lhenricksen,4328,2019-04-21,1
lhenricksen11736,lhenricksen,11736,2018-04-12,4
lhenricksen7569,lhenricksen,7569,2018-11-12,4
lhenricksen1891,lhenricksen,1891,2019-01-12,4
lhenricksen12071,lhenricksen,12071,2019-05-16,1
lhenricksen7617,lhenricksen,7617,2018-08-17,5
datchison4357,datchison,4357,2018-06-19,4
datchison7208,datchison,7208,2015-12-08,4
datchison11806,datchison,11806,2017-07-13,4
datchison10344,datchison,10344,2017-09-30,4
datchison836,datchison,836,2017-03-21,2
datchison586,datchison,586,2016-10-22,4
lmcjunkin3791,lmcjunkin,3791,2019-08-14,4
lmcjunkin5996,lmcjunkin,5996,2016-02-01,4
lmcjunkin1925,lmcjunkin,1925,2019-06-28,2
lmcjunkin4678,lmcjunkin,4678,2015-04-29,4
lmcjunkin4986,lmcjunkin,4986,2018-09-15,3
lmcjunkin909,lmcjunkin,909,2018-05-03,4
lmcjunkin876,lmcjunkin,876,2018-09-28,4
lmcjunkin2597,lmcjunkin,2597,2019-05-30,3
lmcjunkin732,lmcjunkin,732,2014-03-06,2
lmcjunkin8755,lmcjunkin,8755,2019-07-06,3
lmcjunkin2590,lmcjunkin,2590,2017-01-04,4
lmcjunkin323,lmcjunkin,323,2016-09-16,4
lmcjunkin6946,lmcjunkin,6946,2016-01-17,4
lmcjunkin1609,lmcjunkin,1609,2019-07-02,4
lmcjunkin9802,lmcjunkin,9802,2019-03-16,4
lmcjunkin3848,lmcjunkin,3848,2017-11-21,1
lmcjunkin2971,lmcjunkin,2971,2019-01-23,5
lmcjunkin10852,lmcjunkin,10852,2018-11-01,4
jcrowner2503,jcrowner,2503,2019-09-16,4
jcrowner6600,jcrowner,6600,2019-07-14,4
jcrowner7785,jcrowner,7785,2017-08-05,3
jcrowner3237,jcrowner,3237,2019-03-10,3
jcrowner9757,jcrowner,9757,2018-10-25,5
jcrowner2151,jcrowner,2151,2014-05-09,5
lmusic9543,lmusic,9543,2019-08-09,1
lmusic1250,lmusic,1250,2018-08-03,4
lmusic11007,lmusic,11007,2017-08-22,5
lmusic10495,lmusic,10495,2017-02-28,4
lmusic5344,lmusic,5344,2017-01-05,5
lmusic4693,lmusic,4693,2015-09-17,2
lmusic8989,lmusic,8989,2019-06-19,5
lmusic7617,lmusic,7617,2016-11-30,4
lmusic5396,lmusic,5396,2017-08-01,5
ldooling1588,ldooling,1588,2017-09-28,5
ldooling2860,ldooling,2860,2018-07-11,5
ldooling9026,ldooling,9026,2019-08-07,3
ldooling3861,ldooling,3861,2017-09-19,4
ldooling1503,ldooling,1503,2018-07-10,4
ldooling8909,ldooling,8909,2017-09-03,1
ldooling3918,ldooling,3918,2019-02-16,4
ldooling4116,ldooling,4116,2017-10-19,4
ldooling8293,ldooling,8293,2018-03-29,4
ldooling6450,ldooling,6450,2019-06-02,4
ldooling6090,ldooling,6090,2018-04-27,4
ldooling4155,ldooling,4155,2018-07-09,3
ldooling8360,ldooling,8360,2018-08-27,4
ldooling4850,ldooling,4850,2018-01-27,4
ldooling9314,ldooling,9314,2018-06-22,1
ldooling607,ldooling,607,2019-07-07,4
ldooling8024,ldooling,8024,2018-01-08,4
ldooling2213,ldooling,2213,2019-08-30,3
ldooling6755,ldooling,6755,2018-01-04,5
ldooling1039,ldooling,1039,2019-08-02,4
ldooling6018,ldooling,6018,2018-08-21,2
ldooling10011,ldooling,10011,2019-06-04,5
ldooling7507,ldooling,7507,2017-12-04,4
ldooling1698,ldooling,1698,2019-02-20,3
jsurrett347,jsurrett,347,2017-05-06,2
jsurrett7852,jsurrett,7852,2019-03-14,5
jsurrett9505,jsurrett,9505,2019-08-22,5
jsurrett326,jsurrett,326,2019-08-13,3
jsurrett4732,jsurrett,4732,2018-02-22,5
jsurrett6377,jsurrett,6377,2019-01-14,5
jsurrett6248,jsurrett,6248,2018-12-11,2
jsurrett1597,jsurrett,1597,2018-07-19,3
jsurrett11821,jsurrett,11821,2018-01-01,4
jsurrett3949,jsurrett,3949,2019-03-05,3
jsurrett10409,jsurrett,10409,2017-11-28,4
jsurrett5066,jsurrett,5066,2018-09-08,3
jsurrett5477,jsurrett,5477,2017-10-11,2
jsurrett3147,jsurrett,3147,2019-10-05,4
jsurrett9266,jsurrett,9266,2018-07-10,3
jsurrett10408,jsurrett,10408,2018-10-30,4
jsurrett6341,jsurrett,6341,2019-02-08,4
jsurrett970,jsurrett,970,2018-07-31,5
jsurrett8169,jsurrett,8169,2018-08-15,2
jsurrett3426,jsurrett,3426,2019-04-12,4
mmacgillivray4740,mmacgillivray,4740,2019-05-06,4
mmacgillivray4476,mmacgillivray,4476,2019-07-29,5
mmacgillivray10702,mmacgillivray,10702,2019-02-07,4
mmacgillivray5407,mmacgillivray,5407,2018-10-06,2
mmacgillivray9746,mmacgillivray,9746,2018-11-12,4
mmacgillivray5700,mmacgillivray,5700,2019-04-14,4
mmacgillivray5659,mmacgillivray,5659,2019-03-28,4
mmacgillivray381,mmacgillivray,381,2019-08-01,3
mmacgillivray9321,mmacgillivray,9321,2019-05-25,5
mmacgillivray3246,mmacgillivray,3246,2018-12-28,2
mmacgillivray5586,mmacgillivray,5586,2019-01-24,5
mmacgillivray1560,mmacgillivray,1560,2019-09-11,2
mmacgillivray4705,mmacgillivray,4705,2019-01-09,5
mmacgillivray11794,mmacgillivray,11794,2018-12-28,4
mmacgillivray11129,mmacgillivray,11129,2018-09-24,4
mmacgillivray6508,mmacgillivray,6508,2019-01-21,4
mmacgillivray4779,mmacgillivray,4779,2019-01-09,5
mmacgillivray11518,mmacgillivray,11518,2019-04-02,4
sleu7279,sleu,7279,2019-06-21,2
sleu8714,sleu,8714,2019-07-06,1
sleu3786,sleu,3786,2017-12-06,4
sleu7904,sleu,7904,2019-08-12,4
sleu11101,sleu,11101,2019-04-20,4
sleu7636,sleu,7636,2017-11-30,3
emarkovich11042,emarkovich,11042,2017-03-11,1
emarkovich9668,emarkovich,9668,2018-07-18,4
emarkovich4342,emarkovich,4342,2017-06-02,3
emarkovich4571,emarkovich,4571,2017-05-15,4
emarkovich2570,emarkovich,2570,2019-06-24,2
emarkovich9420,emarkovich,9420,2016-10-08,4
emarkovich3934,emarkovich,3934,2018-03-09,4
emarkovich5494,emarkovich,5494,2019-05-30,5
emarkovich6086,emarkovich,6086,2016-07-06,2
emarkovich10990,emarkovich,10990,2017-07-18,5
emarkovich4132,emarkovich,4132,2015-10-28,2
emarkovich8956,emarkovich,8956,2018-10-03,4
emarkovich6586,emarkovich,6586,2016-01-27,5
emarkovich7479,emarkovich,7479,2018-10-11,4
emarkovich7158,emarkovich,7158,2019-03-26,4
emarkovich75,emarkovich,75,2018-08-11,4
emarkovich5271,emarkovich,5271,2017-08-22,3
emarkovich6685,emarkovich,6685,2019-04-23,3
woverturf11863,woverturf,11863,2018-10-30,3
woverturf8167,woverturf,8167,2019-03-30,3
woverturf9548,woverturf,9548,2019-06-16,2
woverturf11893,woverturf,11893,2018-09-15,2
woverturf1130,woverturf,1130,2019-07-18,4
woverturf8674,woverturf,8674,2018-09-19,4
woverturf9615,woverturf,9615,2019-08-30,5
woverturf8327,woverturf,8327,2018-04-27,1
woverturf2000,woverturf,2000,2019-02-22,4
woverturf8949,woverturf,8949,2019-01-28,5
woverturf4405,woverturf,4405,2019-04-19,2
woverturf6887,woverturf,6887,2018-09-22,4
jsoltero2327,jsoltero,2327,2019-06-03,2
jsoltero9228,jsoltero,9228,2018-12-14,3
jsoltero4334,jsoltero,4334,2019-10-06,3
jsoltero4921,jsoltero,4921,2019-07-10,2
jsoltero9020,jsoltero,9020,2019-01-04,3
jsoltero9378,jsoltero,9378,2019-04-06,4
jsoltero1508,jsoltero,1508,2019-04-10,4
jsoltero3926,jsoltero,3926,2019-01-01,3
jsoltero8654,jsoltero,8654,2019-04-23,4
jsoltero1026,jsoltero,1026,2019-04-10,4
jsoltero3016,jsoltero,3016,2019-03-25,4
jsoltero5095,jsoltero,5095,2019-04-22,4
jsoltero2423,jsoltero,2423,2018-12-16,4
jsoltero9463,jsoltero,9463,2019-08-25,3
jsoltero6830,jsoltero,6830,2019-04-16,3
jsoltero11168,jsoltero,11168,2019-08-31,4
jsoltero2696,jsoltero,2696,2019-01-20,4
jsoltero1876,jsoltero,1876,2019-08-18,4
jsoltero8549,jsoltero,8549,2019-02-07,5
jsoltero7013,jsoltero,7013,2019-02-23,3
jsoltero9138,jsoltero,9138,2019-04-20,4
jsoltero5492,jsoltero,5492,2019-08-30,4
jsoltero10809,jsoltero,10809,2019-01-07,3
jsoltero5132,jsoltero,5132,2019-01-29,4
aestes10753,aestes,10753,2018-06-18,4
aestes206,aestes,206,2018-07-22,4
aestes8903,aestes,8903,2017-01-01,5
aestes5558,aestes,5558,2017-02-16,5
rfite1504,rfite,1504,2019-01-01,5
rfite8066,rfite,8066,2018-12-06,3
rfite11285,rfite,11285,2019-08-17,4
rfite2476,rfite,2476,2018-10-14,5
rfite1327,rfite,1327,2019-01-07,3
krace1173,krace,1173,2018-12-28,4
krace11598,krace,11598,2018-10-18,5
krace11099,krace,11099,2019-08-04,4
krace6108,krace,6108,2018-07-16,2
krace1853,krace,1853,2018-06-09,4
tsperber4367,tsperber,4367,2017-06-30,4
tsperber9407,tsperber,9407,2017-02-27,2
tsperber9039,tsperber,9039,2016-12-30,4
tsperber1849,tsperber,1849,2016-07-19,4
tsperber8372,tsperber,8372,2019-04-18,3
tsperber5859,tsperber,5859,2019-09-09,4
tsperber2243,tsperber,2243,2018-05-03,4
tsperber9757,tsperber,9757,2017-07-21,5
tsperber9790,tsperber,9790,2016-08-17,2
tsperber10763,tsperber,10763,2017-01-13,4
tsperber10268,tsperber,10268,2019-10-05,2
tsperber2440,tsperber,2440,2017-07-03,3
tsperber5968,tsperber,5968,2019-04-24,3
emaclachlan7788,emaclachlan,7788,2019-03-20,1
emaclachlan8210,emaclachlan,8210,2018-07-18,5
emaclachlan2897,emaclachlan,2897,2019-02-26,4
emaclachlan7226,emaclachlan,7226,2016-09-08,1
emaclachlan5619,emaclachlan,5619,2019-03-04,4
emaclachlan5036,emaclachlan,5036,2018-06-24,4
emaclachlan1783,emaclachlan,1783,2017-02-15,3
emaclachlan817,emaclachlan,817,2018-04-25,1
sellingson3406,sellingson,3406,2018-05-17,2
sellingson5304,sellingson,5304,2016-01-27,5
sellingson11963,sellingson,11963,2018-12-13,3
sellingson9337,sellingson,9337,2017-03-05,4
sellingson7312,sellingson,7312,2019-01-22,4
sellingson8991,sellingson,8991,2017-12-09,4
sellingson2507,sellingson,2507,2016-03-17,4
sellingson8243,sellingson,8243,2018-06-03,3
sellingson4626,sellingson,4626,2016-09-29,3
sellingson7437,sellingson,7437,2015-11-07,2
sellingson4624,sellingson,4624,2016-03-22,4
sellingson9477,sellingson,9477,2017-02-21,4
sellingson5195,sellingson,5195,2017-03-19,4
sellingson476,sellingson,476,2018-04-21,2
sellingson8908,sellingson,8908,2017-03-18,4
sellingson2695,sellingson,2695,2017-02-09,4
sellingson5568,sellingson,5568,2019-06-21,4
sellingson5223,sellingson,5223,2016-06-17,4
sellingson9493,sellingson,9493,2017-02-24,4
sellingson10793,sellingson,10793,2016-12-09,5
sellingson4488,sellingson,4488,2019-08-01,4
sellingson11614,sellingson,11614,2019-01-04,5
equinton12036,equinton,12036,2017-04-16,5
equinton4152,equinton,4152,2017-11-05,4
equinton5966,equinton,5966,2016-11-29,3
equinton4836,equinton,4836,2018-05-03,2
equinton5886,equinton,5886,2017-01-06,5
equinton10015,equinton,10015,2016-09-06,4
equinton11022,equinton,11022,2018-08-09,3
equinton2810,equinton,2810,2018-06-29,4
equinton8783,equinton,8783,2019-03-01,3
equinton11600,equinton,11600,2019-04-25,2
equinton6132,equinton,6132,2016-08-28,5
equinton9651,equinton,9651,2019-08-18,5
equinton9336,equinton,9336,2018-01-31,5
equinton9138,equinton,9138,2017-11-25,5
equinton5497,equinton,5497,2018-02-16,3
equinton2159,equinton,2159,2019-09-11,5
equinton6021,equinton,6021,2017-10-01,2
equinton10326,equinton,10326,2016-09-06,4
ccorder6665,ccorder,6665,2019-07-21,5
ccorder5754,ccorder,5754,2019-06-29,4
ccorder9016,ccorder,9016,2019-10-05,4
ccorder9545,ccorder,9545,2019-07-28,3
ccorder3504,ccorder,3504,2019-08-12,1
ccorder11012,ccorder,11012,2019-06-17,5
ccorder5242,ccorder,5242,2019-07-15,5
ccorder5,ccorder,5,2019-06-16,5
ccorder2742,ccorder,2742,2019-07-23,4
ccorder11343,ccorder,11343,2019-06-27,2
ccorder11512,ccorder,11512,2019-06-30,3
twalt7227,twalt,7227,2018-10-14,2
twalt3867,twalt,3867,2016-11-02,4
twalt9352,twalt,9352,2018-01-31,2
twalt11102,twalt,11102,2018-03-20,2
twalt8885,twalt,8885,2018-07-02,3
twalt11726,twalt,11726,2019-08-24,4
twalt6153,twalt,6153,2019-03-25,4
twalt4505,twalt,4505,2017-08-28,4
twalt5857,twalt,5857,2016-01-02,2
twalt4646,twalt,4646,2019-03-21,4
twalt5668,twalt,5668,2018-11-29,4
twalt5290,twalt,5290,2016-04-29,2
twalt8966,twalt,8966,2018-05-02,3
twalt9335,twalt,9335,2016-09-18,4
